epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,128215,0.31899,0.57032,1.0242,0.81843,0.89742,0.93668,0.85952,0.4128,0.56978,0.90739,0.000803876,0.000803876,0.000803876
43,130762,0.32156,0.57321,1.03618,0.86998,0.84163,0.94205,0.86518,0.38256,0.57164,0.88037,0.000785127,0.000785127,0.000785127
44,133558,0.3132,0.5569,1.02901,0.90313,0.84372,0.93315,0.85725,0.37703,0.56828,0.88839,0.000766226,0.000766226,0.000766226
45,136096,0.31484,0.54874,1.02695,0.86736,0.85808,0.93723,0.86876,0.36799,0.55597,0.85127,0.000747192,0.000747192,0.000747192
46,138663,0.32973,0.56981,1.02802,0.88539,0.8739,0.93818,0.87532,0.35225,0.545,0.86893,0.000728044,0.000728044,0.000728044
47,144797,0.32058,0.56417,1.02742,0.87057,0.88265,0.94404,0.87929,0.34833,0.54499,0.87072,0.0007088,0.0007088,0.0007088
48,149857,0.31955,0.5628,1.02568,0.85859,0.87783,0.93736,0.87716,0.34388,0.51377,0.84745,0.00068948,0.00068948,0.00068948
49,166115,0.32833,0.57834,1.04026,0.89492,0.90045,0.94799,0.8763,0.37501,0.53065,0.88432,0.000670102,0.000670102,0.000670102
50,171943,0.31722,0.56071,1.02005,0.89531,0.88999,0.95784,0.87332,0.38625,0.58097,0.88231,0.000650685,0.000650685,0.000650685
51,180095,0.29917,0.54553,1.01438,0.87048,0.88195,0.94145,0.86915,0.36636,0.55938,0.89316,0.00063125,0.00063125,0.00063125
52,182419,0.30576,0.54229,1.01901,0.85008,0.92367,0.94521,0.88521,0.36098,0.51638,0.86726,0.000611815,0.000611815,0.000611815
53,184785,0.30905,0.53938,1.02381,0.91916,0.84615,0.94689,0.87553,0.37608,0.5239,0.85511,0.000592398,0.000592398,0.000592398
54,187168,0.31067,0.55797,1.02879,0.89285,0.87783,0.94102,0.88168,0.34476,0.50187,0.84979,0.00057302,0.00057302,0.00057302
55,189488,0.28689,0.5126,1.007,0.89514,0.88842,0.94207,0.8731,0.3487,0.52114,0.86887,0.0005537,0.0005537,0.0005537
56,191871,0.29365,0.6661,1.00663,0.85987,0.88849,0.9419,0.8709,0.3534,0.50765,0.85654,0.000534456,0.000534456,0.000534456
57,194246,0.29049,0.63074,1.00625,0.84673,0.91403,0.9362,0.86384,0.36948,0.56279,0.86806,0.000515308,0.000515308,0.000515308
58,196576,0.28418,0.51776,1.01099,0.89819,0.87821,0.94404,0.87258,0.34846,0.48694,0.85425,0.000496274,0.000496274,0.000496274
59,198905,0.30116,0.53899,1.01248,0.87388,0.8779,0.94249,0.87985,0.34299,0.51193,0.83787,0.000477373,0.000477373,0.000477373
