retailer,source_scope,brand,product_name,category,price,sale_price,original_price,rating,review_count,barcode,product_id,sku_id,product_url,image_url,source_url,captured_utc_date
Sephora US,PDF brand list,Youth To The People,Superberry Hydrate + Glow Dream Mask,moisturizer,,,,,,,,,https://www.sephora.com/search?keyword=Youth%20To%20The%20People%20Superberry%20Hydrate%20+%20Glow%20Dream%20Mask,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Sunday Riley,Good Genes All-In-One Lactic Acid Treatment,treatment,,,,,,,,,https://www.sephora.com/search?keyword=Sunday%20Riley%20Good%20Genes%20All-In-One%20Lactic%20Acid%20Treatment,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Sunday Riley,UFO Ultra-Clarifying Acne Treatment Face Oil,treatment,,,,,,,,,https://www.sephora.com/search?keyword=Sunday%20Riley%20UFO%20Ultra-Clarifying%20Acne%20Treatment%20Face%20Oil,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Sunday Riley,Auto Correct Brightening Eye Cream,moisturizer,,,,,,,,,https://www.sephora.com/search?keyword=Sunday%20Riley%20Auto%20Correct%20Brightening%20Eye%20Cream,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,The Inkey List,Salicylic Acid Acne Cleanser,cleanser,,,,,,,,,https://www.sephora.com/search?keyword=The%20Inkey%20List%20Salicylic%20Acid%20Acne%20Cleanser,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,The Inkey List,Caffeine Eye Cream,moisturizer,,,,,,,,,https://www.sephora.com/search?keyword=The%20Inkey%20List%20Caffeine%20Eye%20Cream,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,The Inkey List,Retinol Serum,treatment,,,,,,,,,https://www.sephora.com/search?keyword=The%20Inkey%20List%20Retinol%20Serum,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,The Inkey List,Succinic Acid Acne Treatment,treatment,,,,,,,,,https://www.sephora.com/search?keyword=The%20Inkey%20List%20Succinic%20Acid%20Acne%20Treatment,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Paula's Choice,Skin Perfecting 2% BHA Liquid Exfoliant,skincare,,,,,,,,,https://www.sephora.com/search?keyword=Paula’s%20Choice%20Skin%20Perfecting%202%%20BHA%20Liquid%20Exfoliant,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Paula's Choice,Clinical 1% Retinol Treatment,treatment,,,,,,,,,https://www.sephora.com/search?keyword=Paula’s%20Choice%20Clinical%201%%20Retinol%20Treatment,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Paula's Choice,C15 Super Booster,treatment,,,,,,,,,https://www.sephora.com/search?keyword=Paula’s%20Choice%20C15%20Super%20Booster,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Laneige,Lip Sleeping Mask (Berry/Sweet Candy),moisturizer,,,,,,,,,https://www.sephora.com/search?keyword=Laneige%20Lip%20Sleeping%20Mask%20(Berry/Sweet%20Candy),,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Laneige,Water Bank Blue Hyaluronic Cream Exfoliant,moisturizer,,,,,,,,,https://www.sephora.com/search?keyword=Laneige%20Water%20Bank%20Blue%20Hyaluronic%20Cream%20Exfoliant,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
