title,asin,price,rating,reviews,link,thumbnail
"Dermarest Psoriasis Medicated Shampoo and Conditioner, Unscented, Dermatologist Tested, 8 Fl Oz (Pack of 2)",B07KRY1N3Y,$12.65,4.4,9900,https://www.amazon.com/Dermarest-Psoriasis-Medicated-Shampoo-Conditioner/dp/B07KRY1N3Y/,https://m.media-amazon.com/images/I/71LNQRRZwNL._AC_UL320_.jpg
"Nizoral Psoriasis Relief Cream- Relieves Itching, Irritation & Redness and Controls Flaking and Scaling with Maximum Strength Medicine (Salicylic Acid 3%), 4 Fl Oz",B0CP9TS8VD,$14.27,4.3,1000,https://www.amazon.com/Nizoral-Psoriasis-Relieves-Irritation-Salicylic/dp/B0CP9TS8VD/,https://m.media-amazon.com/images/I/715AgGCF0QL._AC_UL320_.jpg
"BALM OF GILEAD Manuka Eczema Honey Cream - Moisturizer for Sensitive Skin, Eczema, Psoriasis & Dermatitis - Manuka Honey Ointment, Grassfed Tallow",B087258KHP,$19.74,4.4,2100,https://www.amazon.com/Manuka-Honey-Cream-INTENSIVE-Sensitive/dp/B087258KHP/,https://m.media-amazon.com/images/I/815K1x3AFyL._AC_UL320_.jpg
"Hearth and Homestead: Handmade Whipped Tallow Balm (Unscented/Herb-Infused) - Organic Body Butter with Infused Olive Oil, for Eczema, Rosacea, Baby - 1.3 oz",B0BJMSH4JX,$25.97,4.7,11100,https://www.amazon.com/Hearth-Homestead-Handmade-Whipped-Unscented/dp/B0BJMSH4JX/,https://m.media-amazon.com/images/I/71Eg3z49xRL._AC_UL320_.jpg
"MG217 Medicated Moisturizing Psoriasis Cream with 3% Salicylic Acid, Multi-Symptom, Fragrance Free, 3.5 Fl Oz",B0CP8G5T9T,$9.99,4.3,572,https://www.amazon.com/MG217-Medicated-Moisturizing-Psoriasis-Multi-Symptom/dp/B0CP8G5T9T/,https://m.media-amazon.com/images/I/51doh6+d9IL._AC_UL320_.jpg
"MG217 Medicated Moisturizing Psoriasis Cream With 3% Salicylic Acid, Multi-symptom, Fragrance Free, 3.5 Fl Oz, (5604)",B007D6C1WY,$13.99,4.3,11800,https://www.amazon.com/MG217-Psoriasis-Salicylic-Multi-Symptom-Moisturizing/dp/B007D6C1WY/,https://m.media-amazon.com/images/I/71W3436R4gL._AC_UL320_.jpg
"First Honey® Manuka Honey Cream for Dry & Itchy Skin | Fast Relief for Eczema, Rosacea, Psoriasis, & Dermatitis | Natural & No Fillers | Safe for Babies & Toddlers | 1.75 oz",B07FM9HHYR,$13.99,4.3,6300,https://www.amazon.com/Manuka-Therapy-Eczema-Psoriasis-Medical/dp/B07FM9HHYR/,https://m.media-amazon.com/images/I/711xD9+ExZL._AC_UL320_.jpg
"Anti-Fungal Shampoo for Folliculitis, Seborrheic Dermatitis, Scalp Psoriasis - Relieves Itchy & Dry Scalp",B0BRJWFM6L,$21.24,4.4,6900,https://www.amazon.com/Folliculitis-Seborrheic-Dermatitis-Antifungal-Treatment/dp/B0BRJWFM6L/,https://m.media-amazon.com/images/I/71ILTKIRgqL._AC_UL320_.jpg
"Nizoral Psoriasis Shampoo & Conditioner - Effective Scalp Psoriasis Treatment, 11 Ounce (Pack of 2)",B095LB6CQB,$32.99,4.4,12000,https://www.amazon.com/Nizoral-Psoriasis-Shampoo-Conditioner-Twinpack/dp/B095LB6CQB/,https://m.media-amazon.com/images/I/818WtW49deL._AC_UL320_.jpg
"TriDerma Psoriasis Control Face & Body Cream - Maximum Strength 3% Salicylic Acid, AP4 Aloe Vera Gel, Urea Cream - Extra Moisturizing Treatment, No Cortisone or Coal Tar - FSA Eligible - 6 Oz",B09H3DL2XV,$18.56,4.4,2700,https://www.amazon.com/TriDerma-Psoriasis-Moisturizing-Treatment-Salicylic/dp/B09H3DL2XV/,https://m.media-amazon.com/images/I/71SrLSfp+gL._AC_UL320_.jpg
"Kenkoderm Psoriasis Dead Sea Mineral Salt Soap with Argan Oil & Salicylic Acid, Natural Exfoliating Body & Face Cleanser for Sensitive Skin, Color & Fragrance Free, 4.25 Ounce, Pack of 4 Bars",B087Z2CP2L,$23.99,4.6,740,https://www.amazon.com/Kenkoderm-Psoriasis-Mineral-Argan-Butter/dp/B087Z2CP2L/,https://m.media-amazon.com/images/I/51gKXMlnnmL._AC_UL320_.jpg
"Extreme Healing, Non-Sticky, Fast-Absorbing Lotion For Dry Skin with Eczema and Psoriasis, Fragrance Free Lotion with Patented Ingredient SBD-4, Soothing Relief for Hand and Body, 3 Oz",B0CLYZ7MVG,$28.00,4.0,136,https://www.amazon.com/SkinClinical-Non-Sticky-Fast-Absorbing-Fragrance-Ingredient/dp/B0CLYZ7MVG/,https://m.media-amazon.com/images/I/61K-xBq6LCL._AC_UL320_.jpg
"5 Psoriasis Cream - Full Body 5% Salicylic Acid Exfoliating Skin Lotion - Promotes Relief from Itchy, Redness, Dryness, Roughness, and Flakey Skin",B01H7TGSLG,$28.02,4.4,1400,https://www.amazon.com/Keralyt-KERACR16-5-Cream/dp/B01H7TGSLG/,https://m.media-amazon.com/images/I/71xEomq-UpL._AC_UL320_.jpg
